epoch,layer,norm,mean,std
0,batch_normalization_1/W_0,0.98136127,0.98136127,0.0
0,batch_normalization_1/W_1,0.017996652,0.017996652,0.0
0,batch_normalization_1/W_2,0.3208102,0.3208102,0.0
0,batch_normalization_1/W_3,0.103607975,0.103607975,0.0
0,conv2d_1/W_0,1.4630079,-0.0031913063,0.12187555
0,conv2d_1/W_1,0.19151805,0.015198807,0.04540313
0,dense_1/W_0,1.5626248,-0.16123231,0.35583198
0,dense_1/W_1,0.06504375,-0.06504375,0.0
1,batch_normalization_1/W_0,1.0253205,1.0253205,0.0
1,batch_normalization_1/W_1,0.016837262,0.016837262,0.0
1,batch_normalization_1/W_2,0.33655754,0.33655754,0.0
1,batch_normalization_1/W_3,0.05999701,0.05999701,0.0
1,conv2d_1/W_0,1.555801,-0.0037714718,0.12959522
1,conv2d_1/W_1,0.35116437,0.035093255,0.08047198
1,dense_1/W_0,1.6555134,-0.15469424,0.38388148
1,dense_1/W_1,0.115684226,-0.115684226,0.0
2,batch_normalization_1/W_0,1.0844153,1.0844153,0.0
2,batch_normalization_1/W_1,0.029285686,-0.029285686,0.0
2,batch_normalization_1/W_2,0.3369668,0.3369668,0.0
2,batch_normalization_1/W_3,0.057124,0.057124,0.0
2,conv2d_1/W_0,1.6483635,-0.0030690585,0.13732933
2,conv2d_1/W_1,0.47828218,0.04178196,0.11203296
2,dense_1/W_0,1.7508465,-0.14717737,0.412226
2,dense_1/W_1,0.15431537,-0.15431537,0.0
3,batch_normalization_1/W_0,1.1924922,1.1924922,0.0
3,batch_normalization_1/W_1,0.07584982,-0.07584982,0.0
3,batch_normalization_1/W_2,0.3404658,0.3404658,0.0
3,batch_normalization_1/W_3,0.0579234,0.0579234,0.0
3,conv2d_1/W_0,1.773499,-0.0017782905,0.14778088
3,conv2d_1/W_1,0.6028958,0.048522025,0.14270012
3,dense_1/W_0,1.8777494,-0.1419937,0.44744745
3,dense_1/W_1,0.19106938,-0.19106938,0.0
4,batch_normalization_1/W_0,1.2832435,1.2832435,0.0
4,batch_normalization_1/W_1,0.15299168,-0.15299168,0.0
4,batch_normalization_1/W_2,0.33922374,0.33922374,0.0
